customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,tenure_bucket,services_count,monthly_to_total_ratio,internet_no_tech_support,fiber_optic,month_to_month,no_online_security,expected_tenure,CLV
3398-GCPMU,0,1,1,1,72,1,2,0,2,2,2,2,2,2,2,1,1,89.55,6448.85,0,2,9,1.0001938705875055,0,0,0,0,84,7522.2
0654-PQKDW,0,0,1,1,62,1,0,0,2,0,2,2,2,0,1,1,0,70.75,4263.45,0,2,6,0.9719480223412743,0,0,0,0,78,5518.5
3588-WSTTJ,0,1,0,0,35,1,2,1,2,0,0,0,2,2,0,1,2,99.05,3554.6,0,2,6,1.0253407370015144,1,1,1,0,41,4061.0499999999997
3677-TNKIO,0,0,0,0,14,1,0,1,0,0,0,0,0,0,0,1,1,71.0,914.0,1,1,2,0.9195171026156942,1,1,1,1,20,1420.0
0829-DDVLK,0,0,0,0,15,1,0,2,1,1,1,1,1,1,1,0,1,20.1,302.45,0,1,1,1.003150912106136,0,0,0,0,30,603.0
0727-IWKVK,1,0,1,0,9,1,0,1,0,2,2,0,0,0,0,1,2,79.9,741.7,1,3,4,1.031428174106522,1,1,1,1,15,1198.5
4010-YLMVT,0,0,0,0,56,1,2,1,2,2,0,0,2,2,0,1,1,106.6,5893.95,0,2,7,0.9873274591262396,1,1,1,0,62,6609.2
7094-MSZAO,1,0,1,1,10,1,0,2,1,1,1,1,1,1,0,1,1,20.05,218.5,0,3,1,1.0897755610972568,0,0,1,0,16,320.8
9174-IHETN,0,0,0,1,50,1,0,1,0,0,0,0,0,0,2,0,1,70.35,3533.6,0,2,2,1.0045771144278608,1,1,0,1,84,5909.4
8429-XIBUM,1,0,0,0,22,1,2,1,2,0,0,0,2,2,0,1,0,101.35,2317.1,1,1,6,1.0391980983988878,1,1,1,0,28,2837.7999999999997
0196-JTUQI,0,0,0,0,9,1,2,1,0,0,0,0,0,0,0,1,1,75.2,633.85,0,3,3,0.936539598108747,1,1,1,1,15,1128.0
1785-BPHTP,1,0,1,1,28,1,0,1,0,0,2,0,2,0,0,0,2,85.45,2289.9,0,2,4,0.9570759842848785,1,1,1,1,34,2905.3
7665-VIGUD,1,0,0,0,10,1,0,2,1,1,1,1,1,1,1,0,3,20.35,176.3,0,3,1,0.8663390663390664,0,0,0,0,18,366.3
1086-LXKFY,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,3,69.1,69.1,1,0,2,1.0,1,1,1,1,7,483.69999999999993
0556-FJEGU,1,0,0,0,58,1,0,0,0,2,2,2,2,0,2,0,0,70.1,4048.95,0,2,6,0.9958556741600669,0,0,0,1,84,5888.4
6341-AEVKX,0,0,1,0,62,1,0,1,2,0,2,2,2,2,1,1,2,104.3,6613.65,0,2,7,1.0227399251538676,0,1,0,0,78,8135.4
8414-MYSHR,1,1,0,0,5,1,0,1,0,0,0,0,2,2,0,1,2,91.4,449.75,1,0,4,0.9841356673960613,1,1,1,1,11,1005.4000000000001
0236-HFWSV,1,0,0,0,15,1,2,1,0,0,0,0,2,2,0,1,2,93.35,1444.65,1,1,5,1.0317086234600965,1,1,1,1,21,1960.35
2091-GPPIQ,0,0,1,1,72,1,2,0,0,2,0,2,2,2,2,1,2,78.95,5730.15,0,2,7,1.0080483428330165,0,0,0,1,84,6631.8
7636-OWBPG,1,1,0,0,12,0,1,0,0,2,0,0,0,0,0,1,1,29.35,381.2,0,3,2,1.0823395797842132,1,0,1,1,18,528.3000000000001
5832-XKAES,1,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,1,69.8,134.7,1,0,2,0.9648997134670486,1,1,1,1,8,558.4
5729-KLZAR,0,0,1,1,4,1,0,1,0,0,0,0,0,2,0,0,2,80.85,302.75,1,0,3,0.9361471861471862,1,1,1,1,10,808.5
2642-MAWLJ,0,0,1,1,36,1,0,2,1,1,1,1,1,1,2,0,0,20.25,717.95,0,2,1,0.9848422496570646,0,0,0,0,60,1215.0
6614-YWYSC,1,1,1,0,61,1,2,2,1,1,1,1,1,1,2,0,0,25.0,1501.75,0,2,2,0.9847540983606557,0,0,0,0,84,2100.0
2359-KMGLI,1,0,0,0,24,1,2,1,0,2,0,0,0,0,0,1,2,80.25,1861.5,1,1,4,0.9665109034267912,1,1,1,1,30,2407.5
1073-XXCZD,1,0,1,0,55,1,2,2,1,1,1,1,1,1,2,0,0,25.7,1443.65,0,2,2,1.0213300318358685,0,0,0,0,84,2158.7999999999997
8107-RZLNV,1,0,1,0,72,1,2,1,0,2,2,0,2,2,2,1,0,106.3,7565.35,0,2,7,0.9884694784153863,1,1,0,1,84,8929.199999999999
9822-OAOVB,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,1,2,55.45,55.45,0,0,3,1.0,1,0,1,1,7,388.15000000000003
4094-NSEDU,0,1,0,0,21,1,2,1,0,0,0,0,2,2,0,1,2,94.25,1973.75,1,1,5,0.9972211696349628,1,1,1,1,27,2544.75
5955-ERIHD,1,0,1,0,18,1,2,1,0,0,0,0,2,2,0,1,2,94.7,1687.95,1,1,5,0.9902323125659979,1,1,1,1,24,2272.8
7605-SNLQG,0,0,1,0,45,1,0,0,0,0,2,0,0,0,0,1,1,50.25,2221.55,0,2,3,0.9824433388612493,1,0,1,1,51,2562.75
4334-HOWRP,1,1,1,0,72,0,1,0,2,2,2,2,2,2,2,1,1,64.95,4546.0,0,2,7,0.9721153023693438,0,0,0,0,84,5455.8
4452-QIIEB,1,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,3,43.9,278.4,0,3,2,0.9059550927432475,1,0,1,1,13,570.6999999999999
5204-QZXPU,1,0,0,0,19,0,1,0,0,0,2,0,2,0,0,1,2,39.65,733.35,1,1,3,0.9734519147806464,1,0,1,1,25,991.25
1015-JPFYW,1,0,0,1,7,1,0,2,1,1,1,1,1,1,1,0,3,19.45,136.75,0,3,1,1.0044069041498347,0,0,0,0,18,350.09999999999997
2123-VSCOT,0,0,1,1,59,1,2,0,0,0,2,2,2,0,2,1,0,72.1,4194.85,0,2,6,0.9861186205599569,0,0,0,1,84,6056.4
8292-FRFZQ,0,0,0,0,39,0,1,0,2,2,0,2,0,0,1,0,0,41.15,1700.9,0,2,4,1.0598498302021997,0,0,0,0,54,2222.1
9833-TGFHX,1,0,1,1,42,1,2,1,2,0,0,0,2,2,1,0,2,97.1,4016.75,0,2,6,0.984932077877495,1,1,0,0,54,5243.4
5543-QDCRY,1,0,0,0,4,1,0,0,0,0,0,0,2,0,0,1,2,56.4,234.85,0,0,3,1.0410017730496455,1,0,1,1,10,564.0
7326-RIGQZ,1,0,1,1,6,1,0,1,0,0,0,0,0,0,0,1,2,69.8,377.85,0,0,2,0.902220630372493,1,1,1,1,12,837.5999999999999
3498-LZGQZ,1,0,1,1,63,1,0,2,1,1,1,1,1,1,2,1,3,19.15,1177.05,0,2,1,0.9756309834638818,0,0,0,0,84,1608.6
4510-PYUSH,0,1,0,0,38,1,0,0,2,2,0,0,0,0,0,1,1,57.15,2250.65,1,2,4,1.0363540083805316,1,0,1,0,44,2514.6
7459-IMVYU,1,0,0,0,38,1,2,0,2,2,2,2,0,0,0,0,2,69.95,2657.55,0,2,7,0.9997930852864829,0,0,1,0,44,3077.8
6522-YRBXD,1,1,1,0,35,1,2,1,2,2,0,0,0,2,0,1,2,94.55,3365.4,0,2,6,1.016967590843847,1,1,1,0,41,3876.5499999999997
6265-FRMTQ,1,0,0,0,31,1,0,2,1,1,1,1,1,1,2,0,0,20.4,609.1,0,2,1,0.9631562302340292,0,0,0,0,60,1224.0
4581-SSPWD,0,0,0,0,3,1,2,1,0,0,0,0,0,0,0,1,2,75.8,246.3,1,0,3,1.08311345646438,1,1,1,1,9,682.1999999999999
6917-IAYHD,1,0,0,1,1,0,1,0,0,2,0,2,0,0,0,0,3,33.6,33.6,0,0,3,1.0,0,0,1,1,7,235.20000000000002
6341-JVQGF,0,0,1,1,31,1,0,0,2,0,2,2,2,2,1,1,3,81.15,2545.75,0,2,7,1.0119650984834934,0,0,0,0,42,3408.3
9507-HSMMZ,1,0,0,0,54,1,0,2,1,1,1,1,1,1,2,0,3,20.0,1149.65,0,2,1,1.064490740740741,0,0,0,0,84,1680.0
2842-JTCCU,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,46.05,80.35,1,0,2,0.8724212812160694,1,0,1,1,8,368.4
8295-FHIVV,1,0,0,0,7,1,0,2,1,1,1,1,1,1,0,1,3,19.4,168.65,0,3,1,1.2418998527245952,0,0,1,0,13,252.2
1374-DMZUI,0,1,0,0,4,1,2,1,0,0,0,0,2,2,0,1,2,94.3,424.45,1,0,5,1.1252651113467655,1,1,1,1,10,943.0
4012-ZTHBR,0,0,1,1,21,1,0,0,0,0,0,0,0,0,0,1,2,44.95,926.25,0,1,2,0.981249006832989,1,0,1,1,27,1213.65
6199-IWKGC,0,1,1,0,46,1,2,1,0,0,0,2,2,2,1,0,2,100.25,4753.85,0,2,6,1.0308684809714843,0,1,0,1,54,5413.5
4023-RTIQM,0,1,1,0,31,0,1,0,2,2,2,0,0,2,1,1,1,50.4,1580.1,0,2,5,1.0113287250384024,1,0,0,0,42,2116.7999999999997
8406-LNMHF,1,1,1,0,59,1,0,1,2,2,2,0,0,0,1,1,1,82.95,4903.15,0,2,5,1.001859400700851,1,1,0,0,66,5474.7
2680-XKKNJ,0,0,0,0,8,1,0,0,2,2,0,2,0,0,1,0,0,58.2,469.25,0,3,5,1.0078393470790377,0,0,0,0,18,1047.6000000000001
0454-OKRCT,1,0,0,0,33,1,0,1,0,2,0,2,0,0,2,0,0,80.6,2651.1,0,2,4,0.9967290773742388,0,1,0,1,60,4836.0
9052-VKDUW,0,1,1,0,65,1,2,1,2,2,2,0,2,2,0,1,1,109.4,7227.45,0,2,8,1.0163760371255801,1,1,1,0,71,7767.400000000001
4487-ZYJZK,0,0,1,1,38,1,0,2,1,1,1,1,1,1,1,0,1,19.6,763.1,0,2,1,1.0245703544575724,0,0,0,0,54,1058.4
9972-EWRJS,0,0,1,1,67,1,0,2,1,1,1,1,1,1,2,1,0,19.25,1372.9,0,2,1,1.0644698584997092,0,0,0,0,84,1617.0
4116-TZAQJ,0,0,0,0,9,1,0,1,2,0,0,0,0,0,0,1,1,74.25,639.65,1,3,3,0.9572016460905349,1,1,1,0,15,1113.75
1950-KSVVJ,0,0,1,0,45,1,2,1,2,2,2,2,2,2,1,0,3,113.3,5032.25,0,2,9,0.9870059821516132,0,1,0,0,54,6118.2
8874-EJNSR,1,0,1,1,39,1,2,2,1,1,1,1,1,1,2,0,3,25.2,987.95,0,2,2,1.0052401302401304,0,0,0,0,60,1512.0
7989-AWGEH,1,0,1,1,49,0,1,0,2,0,0,0,0,2,0,1,2,39.2,1838.15,0,2,3,0.9569710537276135,1,0,1,0,55,2156.0
3696-XRIEN,0,0,0,0,50,1,2,0,2,0,2,2,2,2,1,1,1,82.5,4179.1,0,2,8,1.0131151515151515,0,0,0,0,66,5445.0
3413-DHLPB,1,0,1,1,60,1,2,1,0,2,0,2,2,2,0,1,0,103.75,5969.95,0,2,7,0.9590281124497991,0,1,1,1,66,6847.5
0786-VSSUD,1,1,0,0,16,0,1,0,0,2,0,0,2,0,0,1,3,39.0,679.85,1,1,3,1.0895032051282052,1,0,1,1,22,858.0
9938-EKRGF,0,0,0,0,15,1,0,0,2,2,2,2,2,2,0,0,3,84.45,1287.85,0,1,8,1.0166567988948094,0,0,1,0,21,1773.45
1468-DEFNC,1,1,1,1,64,1,2,2,1,1,1,1,1,1,2,1,0,24.4,1548.65,0,2,2,0.9917072233606559,0,0,0,0,84,2049.6
5546-QUERU,1,0,0,0,13,1,0,2,1,1,1,1,1,1,1,1,3,19.95,257.0,0,1,1,0.990938885675728,0,0,0,0,30,598.5
4189-NAKJS,1,0,0,0,26,1,2,0,0,0,0,0,0,0,1,1,1,51.55,1295.4,0,2,3,0.966500037305081,1,0,0,1,42,2165.1
5242-UOWHD,1,0,1,1,45,1,0,2,1,1,1,1,1,1,2,0,3,20.35,929.2,0,2,1,1.0146874146874145,0,0,0,0,60,1221.0
0030-FNXPP,0,0,0,0,3,1,0,2,1,1,1,1,1,1,0,0,3,19.85,57.2,0,0,1,0.9605373635600336,0,0,1,0,9,178.65
4598-ZADCK,0,0,0,0,53,0,1,0,2,2,2,2,2,0,1,1,2,53.6,2879.2,0,2,6,1.013517319065052,0,0,0,0,66,3537.6
9624-EGDEQ,0,0,0,0,37,1,0,2,1,1,1,1,1,1,2,0,3,19.8,813.3,0,2,1,1.11015561015561,0,0,0,0,60,1188.0
3244-CQPHU,0,1,0,0,72,1,2,1,2,2,0,2,2,2,2,1,0,110.1,7746.7,0,2,8,0.9772302956907861,0,1,0,0,84,9248.4
2931-XIQBR,0,0,1,1,50,1,0,1,0,0,2,2,2,2,1,0,3,103.05,5153.5,0,2,6,1.0001940805434255,0,1,0,1,66,6801.3
6326-MTTXK,1,0,0,0,8,1,2,1,0,2,0,0,2,2,0,0,2,100.85,819.55,1,3,6,1.0158031730292514,1,1,1,1,14,1411.8999999999999
0623-GDISB,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,1,0,48.45,48.45,0,0,3,1.0,1,0,1,0,7,339.15000000000003
1568-LJSZU,1,0,1,1,68,1,2,0,2,2,2,2,2,2,2,1,1,92.2,6392.85,0,2,9,1.0196583514099784,0,0,0,0,84,7744.8
8436-BJUMM,1,0,1,1,26,1,2,1,0,0,0,0,2,0,0,1,2,83.75,2070.6,1,2,4,0.9509070034443169,1,1,1,1,32,2680.0
5110-CHOPY,0,0,0,0,60,0,1,0,2,0,2,0,2,2,2,0,2,53.6,3237.05,0,2,5,1.0065453980099504,1,0,0,0,84,4502.400000000001
4750-UKWJK,0,1,1,0,37,1,0,2,1,1,1,1,1,1,1,0,3,19.6,727.8,0,2,1,1.0035852178709321,0,0,0,0,54,1058.4
1219-NNDDO,0,0,0,0,9,1,2,1,0,0,0,0,0,0,0,1,2,76.85,663.55,0,3,3,0.9593725150003615,1,1,1,1,15,1152.75
7459-RRWQZ,0,0,0,0,15,1,2,0,2,0,0,0,0,2,0,1,0,64.65,994.55,1,1,5,1.025573601443671,1,0,1,0,21,1357.65
7801-KICAO,0,0,0,0,18,1,2,1,0,0,0,0,0,0,0,1,2,74.15,1345.75,0,1,3,1.008279014010639,1,1,1,1,24,1779.6000000000001
3389-KTRXV,0,0,1,1,23,1,2,2,1,1,1,1,1,1,2,0,3,23.85,625.65,0,1,2,1.1405523653267704,0,0,0,0,36,858.6
0362-RAOQO,0,0,0,0,40,1,0,2,1,1,1,1,1,1,2,0,1,19.65,830.25,0,2,1,1.0562977099236641,0,0,0,0,60,1179.0
1163-ONYEY,1,0,1,1,41,1,2,0,2,2,2,0,2,0,0,1,1,74.55,3023.55,0,2,7,0.9892035137655201,1,0,1,0,47,3503.85
5968-XQIVE,1,0,1,1,72,1,2,1,0,2,0,0,2,0,1,1,2,89.7,6588.95,0,2,5,1.0202139848878977,1,1,0,1,78,6996.6
8752-GHJFU,1,1,1,0,71,1,2,1,2,2,2,2,0,0,1,1,2,92.0,6585.2,0,2,7,1.008144519289651,0,1,0,0,78,7176.0
8819-WFGGJ,1,0,1,0,68,0,1,0,2,0,2,0,2,2,2,1,0,54.1,3794.5,0,2,5,1.0314504729803196,1,0,0,0,84,4544.400000000001
7926-IJOOU,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,1,19.3,19.3,0,0,1,1.0,0,0,1,0,7,135.1
9189-JWSHV,0,1,1,0,24,1,2,1,0,0,0,0,2,2,0,1,2,93.55,2264.05,1,1,5,1.0083956885800822,1,1,1,1,30,2806.5
2819-GWENI,0,0,1,1,28,1,0,2,1,1,1,1,1,1,1,0,3,19.9,543.0,0,2,1,0.9745154343144294,0,0,0,0,42,835.8
3853-LYGAM,1,0,0,0,17,1,2,1,0,0,2,2,0,2,0,1,0,95.65,1640.0,0,1,6,1.0085790719842562,0,1,1,1,23,2199.9500000000003
1740-CSDJP,1,0,0,0,1,0,1,0,0,0,0,0,0,2,0,1,0,35.25,35.25,1,0,2,1.0,1,0,1,1,7,246.75
2866-IKBTM,0,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,19.55,19.55,0,0,1,1.0,0,0,1,0,7,136.85
2632-IVXVF,0,0,1,1,68,1,2,1,2,0,2,2,2,2,2,0,1,111.75,7511.3,0,2,8,0.9884590077641795,0,1,0,0,84,9387.0
5567-GZKQY,1,0,0,0,58,1,0,2,1,1,1,1,1,1,2,0,1,20.3,1131.5,0,2,1,0.9610157975199591,0,0,0,0,84,1705.2
8946-BFWSG,1,0,1,1,63,1,2,2,1,1,1,1,1,1,2,0,3,25.25,1573.05,0,2,2,0.9888731730315888,0,0,0,0,84,2121.0
1508-DFXCU,1,0,0,0,12,1,0,1,0,0,0,0,2,0,0,1,2,81.45,912.0,0,3,3,0.9330877839165131,1,1,1,1,18,1466.1000000000001
2929-QNSRW,0,0,1,0,56,1,2,1,0,2,0,0,2,2,1,1,2,98.25,5508.35,1,2,6,1.0011541257724466,1,1,0,1,66,6484.5
8587-XYZSF,1,0,0,0,67,1,0,0,0,0,0,2,0,0,2,0,0,50.55,3260.1,0,2,3,0.9625758448115506,0,0,0,1,84,4246.2
8597-CWYHH,1,0,0,0,43,1,2,1,0,0,0,0,2,2,1,0,3,94.35,3921.3,0,2,5,0.9665397271416425,1,1,0,1,54,5094.9
0516-WJVXC,0,0,0,0,5,1,0,0,2,0,0,2,0,0,0,0,2,54.2,308.25,1,0,4,1.1374538745387455,0,0,1,0,11,596.2
4277-PVRAN,0,0,0,0,8,1,0,1,0,0,0,0,2,0,0,1,0,80.1,679.3,1,3,3,1.0600811485642947,1,1,1,1,14,1121.3999999999999
9337-SRRNI,1,0,0,1,66,1,2,2,1,1,1,1,1,1,2,1,1,25.3,1673.8,0,2,2,1.0023954964666426,0,0,0,0,84,2125.2000000000003
0303-UNCIP,1,0,0,0,41,1,2,0,0,0,2,0,0,2,1,0,3,65.0,2531.8,0,2,5,0.9500187617260789,1,0,0,1,54,3510.0
7435-ZNUYY,1,0,0,0,6,1,0,2,1,1,1,1,1,1,1,0,3,20.6,116.6,0,0,1,0.9433656957928801,0,0,0,0,18,370.8
6402-SSEJG,0,0,0,0,25,0,1,0,2,2,2,0,2,2,1,0,2,61.05,1540.2,0,2,6,1.009140049140049,1,0,0,0,42,2564.1
6040-CGACY,0,0,0,0,15,1,0,2,1,1,1,1,1,1,0,0,3,19.6,299.4,0,1,1,1.0183673469387755,0,0,1,0,21,411.6
4523-WXCEF,0,0,1,0,59,1,2,1,0,2,0,0,2,2,0,0,2,101.1,6039.9,1,2,6,1.0125735552984962,1,1,1,1,65,6571.5
8887-IPQNC,0,0,1,0,7,1,0,0,0,0,0,0,0,0,0,1,3,44.25,313.45,0,3,2,1.0119451170298628,1,0,1,1,13,575.25
1089-HDMKP,1,1,0,1,11,1,0,0,0,2,0,2,0,0,0,1,2,54.55,601.25,0,3,4,1.001999833347221,0,0,1,1,17,927.3499999999999
4612-THJBS,0,1,0,0,56,1,2,1,0,2,2,0,2,2,1,1,0,104.75,5510.65,1,2,7,0.9394220934197067,1,1,0,1,66,6913.5
6152-ONASV,0,0,1,0,68,1,2,0,2,0,0,2,0,0,1,0,0,58.25,3975.7,0,2,5,1.0037111840444333,0,0,0,0,78,4543.5
5999-LCXAO,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,3,29.9,29.9,0,0,2,1.0,1,0,1,0,7,209.29999999999998
4385-GZQXV,0,1,0,0,16,1,0,1,0,0,0,2,2,2,0,1,2,94.45,1511.2,1,1,5,1.0,0,1,1,1,22,2077.9
6718-BDGHG,0,0,1,0,43,1,2,0,0,0,0,2,2,0,1,1,0,64.85,2908.2,0,2,5,1.042907604310484,0,0,0,1,54,3501.8999999999996
4424-TKOPW,1,1,0,0,2,1,2,1,0,0,0,0,2,2,0,1,2,93.85,196.75,1,0,5,1.0482152370804476,1,1,1,1,8,750.8
6457-GIRWB,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,2,69.35,69.35,1,0,2,1.0,1,1,1,1,7,485.44999999999993
0027-KWYKW,0,0,1,1,23,1,2,1,0,0,0,0,2,0,0,1,2,83.75,1849.95,0,1,4,0.960389357560026,1,1,1,1,29,2428.75
3143-ILDAL,1,0,0,0,56,1,2,1,0,2,0,2,0,2,0,1,2,94.45,5124.6,1,2,6,0.9688799818498073,0,1,1,1,62,5855.900000000001
9644-UMGQA,1,0,1,1,6,1,0,0,2,0,0,0,0,0,0,1,2,49.15,295.65,0,0,3,1.0025432349949135,1,0,1,0,12,589.8
0428-IKYCP,1,0,1,0,22,1,0,1,0,0,2,0,2,0,0,1,0,87.0,1850.65,0,1,4,0.966901776384535,1,1,1,1,28,2436.0
8957-THMOA,0,0,0,1,50,1,0,2,1,1,1,1,1,1,2,0,1,20.15,970.85,0,2,1,0.9636228287841192,0,0,0,0,84,1692.6
7493-GVFIO,1,0,0,0,57,1,0,2,1,1,1,1,1,1,2,0,1,20.55,1252.85,0,2,1,1.0695778375378835,0,0,0,0,84,1726.2
1666-JZPZT,1,0,0,0,27,1,2,0,0,0,0,0,0,0,0,0,3,49.0,1291.35,0,2,3,0.9760770975056688,1,0,1,1,33,1617.0
9091-WTUUY,1,0,1,1,64,1,0,0,2,0,2,2,2,0,2,0,3,69.25,4447.75,0,2,6,1.0035537003610109,0,0,0,0,84,5817.0
4439-JMPMT,0,0,1,1,5,1,0,1,0,0,0,2,2,0,0,1,2,85.75,470.95,1,0,4,1.0984256559766763,0,1,1,1,11,943.25
0396-UKGAI,1,0,0,1,23,1,0,0,0,2,0,2,0,0,0,1,0,55.3,1284.2,0,1,4,1.0096705715858167,0,0,1,1,29,1603.6999999999998
1156-ZFYDO,0,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,2,19.75,19.75,0,0,1,1.0,0,0,1,0,7,138.25
6339-RZCBJ,1,0,0,0,48,1,0,0,0,2,2,2,2,2,2,0,1,78.9,3771.5,0,2,7,0.9958544571187156,0,0,0,1,60,4734.0
6923-AQONU,1,0,1,1,23,1,0,2,1,1,1,1,1,1,2,0,3,20.9,454.0,0,1,1,0.9444560016642397,0,0,0,0,36,752.4
4815-TUMEQ,0,0,0,0,10,1,0,2,1,1,1,1,1,1,1,1,3,19.3,185.2,0,3,1,0.9595854922279792,0,0,0,0,18,347.40000000000003
8510-BBWMU,0,0,0,0,41,1,0,2,1,1,1,1,1,1,1,1,3,19.75,806.95,0,2,1,0.9965421426366163,0,0,0,0,54,1066.5
9574-RKJIF,1,0,1,1,30,1,2,1,2,2,0,0,2,0,0,1,2,94.4,2838.7,1,2,6,1.0023658192090394,1,1,1,0,36,3398.4
2207-RYYRL,1,0,1,1,52,1,2,2,1,1,1,1,1,1,2,0,3,24.55,1331.05,0,2,2,1.0426523578254738,0,0,0,0,84,2062.2000000000003
0611-DFXKO,1,0,1,0,20,1,0,1,0,0,0,0,2,2,0,1,3,89.0,1820.45,1,1,4,1.0227247191011237,1,1,1,1,26,2314.0
7508-DQAKK,0,0,0,0,64,1,2,0,2,2,2,2,2,2,2,1,1,86.4,5442.05,0,2,9,0.9841670283564814,0,0,0,0,84,7257.6
3470-BTGQO,1,0,0,1,21,1,0,0,0,0,0,0,0,0,0,0,3,45.65,985.05,0,1,2,1.027538726333907,1,0,1,1,27,1232.55
6844-DZKRF,1,0,0,0,2,1,0,0,0,0,0,2,0,0,0,1,1,50.2,109.25,0,0,3,1.0881474103585658,0,0,1,1,8,401.6
5485-ITNPC,1,0,1,0,66,1,0,0,2,2,2,2,2,2,2,1,0,85.9,5595.3,0,2,8,0.9869298338448512,0,0,0,0,84,7215.6
4077-HWUYD,1,0,1,1,72,1,2,0,2,2,2,2,2,2,2,1,0,87.55,6463.15,0,2,9,1.0253109334348627,0,0,0,0,84,7354.2
6818-WOBHJ,0,1,1,0,68,1,2,1,0,2,0,0,0,2,0,1,0,89.6,6127.6,1,2,5,1.0057116596638658,1,1,1,1,74,6630.4
7996-MHXLW,0,0,0,0,66,1,2,2,1,1,1,1,1,1,2,1,1,25.15,1683.6,0,2,2,1.0142779685523224,0,0,0,0,84,2112.6
2479-BRAMR,1,1,1,0,41,1,2,1,2,0,2,0,0,0,0,1,0,83.75,3273.55,1,2,5,0.9533454677830361,1,1,1,0,47,3936.25
2615-YVMYX,1,1,1,0,71,1,2,1,2,2,2,0,2,2,0,1,2,107.5,7713.55,0,2,8,1.0106190632165084,1,1,1,0,77,8277.5
1010-DIAUQ,1,0,0,0,5,1,0,1,0,0,2,0,2,2,0,0,0,96.5,492.55,1,0,5,1.0208290155440414,1,1,1,1,11,1061.5
9518-IMLHK,1,0,0,0,31,1,0,0,2,2,2,2,2,0,0,1,0,72.45,2156.25,0,2,7,0.9600614439324116,0,0,1,0,37,2680.65
5832-TRLPB,1,0,0,0,29,1,0,0,0,0,2,2,2,2,1,1,0,75.35,2243.9,0,2,6,1.0268860261309294,0,0,0,1,42,3164.7
9093-FPDLG,0,0,0,0,11,1,0,1,0,2,2,2,0,2,0,1,2,94.2,999.9,0,3,6,0.9649681528662419,0,1,1,1,17,1601.4
2232-DMLXU,0,0,1,0,1,1,0,0,0,0,0,0,2,0,0,0,3,55.2,55.2,1,0,3,1.0,1,0,1,1,7,386.40000000000003
9398-MMQTO,1,0,0,0,3,1,0,1,0,2,0,0,0,0,0,0,1,74.45,221.1,0,0,3,0.9899261249160509,1,1,1,1,9,670.0500000000001
